Alba	6.14	63.2	551	21.9
Argeș	5.76	64.1	1306	28.4
Arad	4.67	43.3	409	14.1
București	5.29	53.4	1795	12.1
Bacău	5.66	64.6	274	7.2
Bihor	5.21	53.3	349	8.5
Bistrița-Năsăud	5.00	47.3	224	10.5
Brăila	6.58	76.8	267	15.4
Botoșani	4.69	45.5	224	7.8
Brașov	5.86	64.3	440	14.1
Buzău	5.36	56.0	389	13.9
Cluj	6.14	73.4	466	11.0
Călărași	5.39	51.3	312	21.2
Caraș-Severin	5.67	56.9	496	26.8
Constanța	4.92	48.8	924	18.2
Covasna	4.95	46.5	157	13.1
Dâmbovița	4.80	43.7	613	19.2
Dolj	4.73	42.1	637	14.4
Gorj	4.97	53.2	959	28.6
Galați	4.93	47.0	283	8.1
Giurgiu	4.26	36.5	219	16.4
Hunedoara	4.98	46.8	329	11.5
Harghita	5.88	66.0	376	16.8
Ilfov	4.98	50.4	276	24.3
Ialomița	4.10	30.2	245	14.4
Iași	5.11	50.0	466	8.8
Mehedinți	4.02	26.0	381	22.1
Maramureș	4.85	44.0	575	16.0
Mureș	5.24	51.3	503	14.4
Neamț	5.04	48.8	422	11.3
Olt	4.51	34.9	307	11.0
Prahova	5.88	67.7	1407	27.0
Sibiu	6.72	75.5	633	26.1
Sălaj	5.60	61.7	444	24.9
Satu-Mare	5.11	53.4	208	10.3
Suceava	5.27	51.0	518	9.5
Tulcea	5.49	55.8	120	9.6
Timiș	5.38	55.1	711	17.1
Teleorman	4.71	37.2	309	13.2
Vâlcea	4.57	40.2	435	16.1
Vrancea	5.31	53.5	368	16.3
Vaslui	4.74	43.3	231	8.1
