Timiș	8.23	99.0	310	6.0
Tulcea	7.22	100.0	16	1.1
Suceava	8.09	94.3	280	4.4
Vaslui	8.31	96.1	76	2.4
Satu-Mare	8.44	97.0	66	2.5
Vrancea	8.17	97.8	46	1.8
Teleorman	8.55	100.0	8	0.2
Vâlcea	9.07	98.6	72	1.9
Neamț	8.74	99.5	186	4.1
Iași	8.93	99.5	370	6.1
Prahova	8.85	98.7	151	2.3
Sibiu	8.70	100.0	125	4.6
Maramureș	8.04	94.7	114	2.7
Mureș	8.30	99.3	138	3.2
Olt	8.40	97.7	43	1.1
Sălaj	8.40	100.0	13	0.6
Mehedinți	7.84	88.0	25	1.0
Ialomița	8.69	100.0	17	0.8
Covasna	7.35	93.0	43	2.8
Constanța	8.03	98.0	101	1.6
Dolj	8.12	97.0	235	4.2
Dâmbovița	7.65	93.2	74	1.7
Galați	8.23	100.0	232	5.4
Gorj	8.78	100.0	120	2.6
Hunedoara	8.15	96.6	89	2.2
Ilfov	6.54	90.9	11	0.6
Giurgiu	8.34	100.0	7	0.3
Harghita	8.28	100.0	56	2.1
Bacău	8.02	93.7	270	5.7
Botoșani	8.35	96.4	110	3.4
Buzău	8.51	98.1	54	1.6
Bistrița-Năsăud	7.94	94.8	116	4.5
Caraș-Severin	7.16	87.3	110	5.0
Brăila	8.04	100.0	48	2.3
Brașov	8.42	100.0	272	7.6
Cluj	8.32	98.6	361	7.3
Călărași	9.64	100.0	10	0.5
Bihor	7.85	98.8	255	4.7
Alba	8.67	100.0	24	0.8
București	8.02	97.2	964	5.5
Arad	8.08	97.2	144	4.1
Argeș	8.11	97.4	267	4.9
