Dâmbovița	7.93	91.6	1508	45.7
Olt	7.64	88.9	1122	37.9
Buzău	7.84	93.6	1242	44.4
Bistrița-Năsăud	7.77	94.4	824	40.3
Bacău	7.93	96.0	1293	33.4
Mureș	7.71	94.8	1455	41.7
Brăila	7.91	97.1	559	34.3
Suceava	7.43	88.4	1340	25.8
Iași	8.11	97.0	1849	37.6
Dolj	7.54	85.4	1189	27.3
Caraș-Severin	7.30	87.5	505	26.7
Sibiu	8.14	93.0	847	35.2
Alba	7.99	95.0	893	34.1
Neamț	7.82	93.4	1171	32.0
Bihor	7.40	90.6	1681	40.2
Arad	7.34	87.7	1322	44.0
Satu-Mare	7.55	95.2	937	47.4
Argeș	8.06	95.2	722	15.8
București	7.70	91.8	4703	32.6
Tulcea	7.24	90.4	448	37.5
Galați	8.02	93.7	648	19.1
Mehedinți	7.18	86.6	620	34.3
Sălaj	7.77	91.8	584	32.7
Harghita	7.37	91.9	1126	48.7
Gorj	7.90	92.0	1083	31.4
Vaslui	7.43	86.3	691	25.8
Botoșani	7.85	93.4	625	22.7
Covasna	7.26	92.2	586	47.1
Timiș	7.66	89.1	1794	42.8
Giurgiu	7.14	83.0	696	47.4
Vâlcea	7.71	91.8	846	30.1
Prahova	7.83	93.4	762	14.9
Hunedoara	7.62	91.0	1260	42.6
Ialomița	7.75	92.6	419	24.1
Ilfov	6.90	87.2	665	53.9
Cluj	7.79	94.4	1284	30.6
Brașov	7.65	91.6	958	31.0
Teleorman	7.38	86.1	1045	42.4
Vrancea	8.00	93.4	934	43.8
Constanța	6.97	82.7	1193	24.2
Maramureș	7.29	84.7	1242	34.6
Călărași	7.43	90.8	555	37.9
