Bacău	8.38	98.8	241	6.2
Neamț	8.85	99.2	240	6.6
Suceava	8.37	98.5	331	6.4
Olt	7.74	96.5	57	1.9
Dâmbovița	7.19	88.5	52	1.6
Iași	8.57	98.7	393	8.0
Caraș-Severin	7.90	95.8	119	6.3
Botoșani	8.69	97.8	139	5.1
Sibiu	9.03	100.0	142	5.9
Argeș	8.50	98.6	218	4.8
Bistrița-Năsăud	8.28	97.5	118	5.8
Timiș	8.08	92.6	272	6.5
Vaslui	8.84	97.4	115	4.3
Mureș	8.44	96.6	149	4.3
Ialomița	8.22	100.0	32	1.8
Tulcea	8.78	100.0	10	0.8
Gorj	8.61	100.0	118	3.4
Buzău	8.61	98.8	83	3.0
Dolj	8.43	95.0	181	4.2
București	8.17	95.3	911	6.3
Bihor	8.15	94.5	256	6.1
Satu-Mare	7.78	100.0	44	2.2
Galați	9.04	100.0	189	5.6
Arad	8.02	96.0	151	5.0
Vrancea	8.95	100.0	46	2.2
Harghita	8.63	100.0	75	3.2
Cluj	8.85	99.4	359	8.5
Hunedoara	8.28	96.2	158	5.3
Prahova	8.26	96.6	179	3.5
Mehedinți	8.50	100.0	42	2.3
Brașov	8.38	98.3	301	9.7
Teleorman	7.29	87.5	32	1.3
Vâlcea	8.32	97.2	109	3.9
Covasna	8.50	97.0	33	2.7
Brăila	8.12	98.5	68	4.2
Alba	8.82	97.8	45	1.7
Giurgiu	5.92	66.7	3	0.2
Ilfov	6.90	100.0	1	0.1
Constanța	8.38	98.6	147	3.0
Maramureș	8.41	95.2	210	5.9
Călărași	7.58	89.5	19	1.3
Sălaj	9.05	100.0	37	2.1
