Sibiu	6.45	73.3	15	0.6
Dâmbovița	5.58	60.9	23	0.6
Neamț	6.90	86.7	45	1.0
Sălaj	8.38	97.2	36	1.7
Brăila	7.49	93.8	32	1.7
Iași	7.96	97.1	35	0.7
Maramureș	7.45	90.7	54	1.4
București	7.79	96.8	221	1.3
Olt	7.44	90.3	31	0.8
Cluj	7.67	93.4	61	1.3
Tulcea	7.02	100.0	6	0.4
Dolj	8.42	100.0	22	0.4
Vaslui	7.61	92.9	42	1.4
Bistrița-Năsăud	8.32	100.0	26	1.0
Mureș	7.70	94.6	37	0.9
Bacău	7.69	95.8	24	0.5
Buzău	8.52	100.0	17	0.5
Călărași	6.89	89.3	28	1.6
Suceava	8.24	96.8	31	0.5
Gorj	7.10	93.1	29	0.6
Alba	8.09	96.2	26	0.9
Constanța	6.89	82.3	62	1.0
Prahova	7.30	93.2	44	0.7
Arad	8.00	93.6	47	1.4
Ialomița	7.21	90.0	20	1.0
Argeș	8.50	95.3	43	0.8
Ilfov	8.01	100.0	6	0.3
Bihor	7.99	100.0	64	1.2
Caraș-Severin	6.22	85.0	20	0.9
Hunedoara	6.33	68.0	25	0.7
Harghita	8.10	100.0	37	1.4
Teleorman	7.20	82.4	17	0.5
Satu-Mare	8.43	100.0	4	0.2
Covasna	5.99	62.5	16	1.1
Galați	8.09	88.9	36	0.9
Botoșani	7.29	90.5	21	0.7
Timiș	7.18	87.8	41	0.8
Vrancea	7.82	95.7	23	0.8
Giurgiu	6.65	75.0	36	1.8
Brașov	7.11	95.0	40	1.1
Mehedinți	7.70	100.0	4	0.2
Vâlcea	8.09	97.7	44	1.2
