Argeș	9.33	99.1	115	2.7
Arad	9.02	100.0	64	2.3
Bistrița-Năsăud	9.50	96.8	31	1.7
Galați	9.11	98.0	100	3.1
Constanța	9.24	100.0	91	1.9
Hunedoara	9.18	100.0	61	2.6
Neamț	9.24	100.0	69	2.2
Prahova	9.16	99.6	230	4.3
Botoșani	9.35	100.0	40	1.4
Vaslui	9.06	98.7	77	3.1
București	9.26	98.8	608	3.7
Brăila	9.30	100.0	69	4.2
Brașov	8.95	98.5	65	2.0
Iași	9.32	100.0	118	2.2
Cluj	9.35	100.0	121	2.8
Bacău	8.78	97.4	117	3.2
Buzău	9.14	99.0	99	3.9
Alba	9.31	100.0	31	1.4
Vâlcea	9.65	100.0	36	1.5
Maramureș	9.32	98.2	57	1.7
Dâmbovița	9.35	100.0	78	2.6
Olt	9.11	92.3	13	0.5
Suceava	9.34	100.0	74	1.4
Giurgiu	9.08	100.0	19	1.6
Vrancea	9.38	100.0	47	2.2
Călărași	9.46	100.0	40	2.9
Bihor	8.80	97.0	33	0.9
Sibiu	8.96	100.0	28	1.1
Satu-Mare	8.99	100.0	45	2.4
Tulcea	8.88	100.0	10	0.9
Gorj	9.35	100.0	65	2.2
Mureș	8.66	100.0	45	1.3
Sălaj	8.97	100.0	11	0.7
Timiș	8.45	95.8	24	0.6
Caraș-Severin	8.93	100.0	11	0.6
Mehedinți	9.11	100.0	30	1.6
Dolj	8.74	100.0	27	0.7
Covasna	7.86	92.3	13	1.1
Harghita	7.93	100.0	11	0.5
Ilfov	7.51	75.0	16	1.3
Ialomița	8.94	100.0	13	0.8
Teleorman	9.42	100.0	19	1.0
