Argeș	8.21	91.9	1256	29.9
Bacău	8.30	93.2	870	23.4
Prahova	8.31	92.6	1567	29.4
Teleorman	7.92	90.4	292	15.0
Vâlcea	8.55	94.0	217	9.0
Brăila	8.17	96.5	226	13.7
Brașov	8.45	96.4	502	15.5
Dâmbovița	8.04	90.8	173	5.8
Sibiu	8.37	95.5	443	17.8
Cluj	8.33	94.1	847	19.7
Iași	8.62	96.3	736	13.9
Olt	7.99	89.6	461	19.0
Tulcea	8.43	93.8	292	25.5
Botoșani	8.04	92.8	751	27.0
Sălaj	8.65	90.2	41	2.7
București	8.12	92.2	2478	14.9
Constanța	7.99	90.2	1027	21.1
Suceava	7.65	90.5	1292	25.0
Bihor	8.65	96.3	428	12.1
Mehedinți	8.08	92.5	295	16.2
Dolj	8.20	90.5	1073	26.3
Bistrița-Năsăud	8.28	94.4	160	8.6
Buzău	8.49	94.3	918	35.9
Galați	8.00	92.4	952	29.4
Maramureș	7.88	91.9	614	18.1
Vrancea	8.61	96.6	266	12.2
Vaslui	8.20	91.7	879	35.2
Alba	8.44	95.3	443	19.7
Caraș-Severin	8.57	96.0	200	11.8
Timiș	8.17	89.8	216	5.1
Arad	8.44	93.5	185	6.7
Mureș	8.37	94.9	277	8.2
Neamț	8.31	93.2	517	16.3
Ialomița	7.36	86.4	301	18.9
Hunedoara	7.99	98.2	109	4.6
Gorj	8.11	91.9	135	4.6
Satu-Mare	8.48	95.2	62	3.3
Covasna	8.44	100.0	48	4.0
Călărași	8.20	100.0	43	3.1
Giurgiu	8.17	94.9	137	11.8
Harghita	8.38	100.0	49	2.3
Ilfov	6.50	79.1	43	3.6
